id,text,author
id00101,"There were no skeletons about, so that departure rather than death was inferred.",HPL
id12225,Yet the sashes were fastened.,EAP
id01364,"His recollections were very confused, but the scene with the black man in the unknown space stood out vividly.",HPL
id24973,"Upon my word, she looks better than she did at Paris five years ago.",EAP
id25363,"And she said to me, not many days afterward, tranquilly dying, that, because of what I had done for the comfort of her spirit she would watch over me in that spirit when departed, and, if so it were permitted her return to me visibly in the watches of the night; but, if this thing were, indeed, beyond the power of the souls in Paradise, that she would, at least, give me frequent indications of her presence, sighing upon me in the evening winds, or filling the air which I breathed with perfume from the censers of the angels.",EAP
id10061,"Darkness had no effect upon my fancy, and a churchyard was to me merely the receptacle of bodies deprived of life, which, from being the seat of beauty and strength, had become food for the worm.",MWS
id17673,"These we placed in the cellar during the day, screening the windows with paper and planning to return in the evening for our first vigil.",HPL
id13249,We appreciate them only in their effects.,EAP
id25728,"An air of stern, deep, and irredeemable gloom hung over and pervaded all.",EAP
id03438,"In this dear intercourse, love, in the guise of enthusiastic friendship, infused more and more of his omnipotent spirit.",MWS
id25355,"I trembled with rage and horror, resolving to wait his approach and then close with him in mortal combat.",MWS
id12793,"The librarian gave me a note of introduction to the curator of the Society, a Miss Anna Tilton, who lived nearby, and after a brief explanation that ancient gentlewoman was kind enough to pilot me into the closed building, since the hour was not outrageously late.",HPL
id11859,"Night fell upon every country, night, sudden, rayless, entire.",MWS
id23725,"When their leaders perceived us drawn out in opposition, they also gave the word to halt, and endeavoured to form their men into some imitation of military discipline.",MWS
id12009,"Arousing from the most profound of slumbers, we break the gossamer web of some dream.",EAP
id24241,The town was full of tumult.,MWS
id03596,"He had not left the manuscript all night, but sat at his table under the electric light turning page after page with shaking hands as fast as he could decipher the cryptic text.",HPL
id10749,"Baudelaire and Huysmans were soon exhausted of thrills, till finally there remained for us only the more direct stimuli of unnatural personal experiences and adventures.",HPL
id22794,"My temper was sometimes violent, and my passions vehement; but by some law in my temperature they were turned not towards childish pursuits but to an eager desire to learn, and not to learn all things indiscriminately.",MWS
id15482,"There was hope that this second and artificial life might be made perpetual by repetitions of the injection, but we had learned that an ordinary natural life would not respond to the action.",HPL
id04833,"He came in gaily, singing the Tyrolese song of liberty; noticed me with a gracious nod, and threw himself on a sopha opposite the copy of a bust of the Apollo Belvidere.",MWS
id14691,"The watchtower of Athens was besieged by inquirers, each sail eagerly looked out for; till on the first of May the gallant frigate bore in sight, freighted with treasure more invaluable than the wealth which, piloted from Mexico, the vexed Pacific swallowed, or that was conveyed over its tranquil bosom to enrich the crown of Spain.",MWS
id22166,"While I, not proudly as in days of joy, yet tenderly, and with glad consciousness of the comfort I afforded, drew my trembling girl close to my heart, and tried to ward every painful thought or rough circumstance from her sensitive nature.",MWS
id20744,"Might not her mother take advantage of Adrian's absence to urge her beyond her sufferance, perhaps to entrap her?",MWS
id10392,"Yet he suffered fearful agony; during the day he was more calm, but at night when I could not be with him he seemed to give the reins to his grief: he often passed his nights either on the floor in my mother's room, or in the garden; and when in the morning he saw me view with poignant grief his exhausted frame, and his person languid almost to death with watching he wept; but during all this time he spoke no word by which I might guess the cause of his unhappiness.",MWS
id05085,"Foremost among the living objects were great inky, jellyish monstrosities which flabbily quivered in harmony with the vibrations from the machine.",HPL
id21993,"We shall continue as we have ever done, one heart, one hope, one life.""",MWS
id17954,"The agony of my feelings allowed me no respite; no incident occurred from which my rage and misery could not extract its food; but a circumstance that happened when I arrived on the confines of Switzerland, when the sun had recovered its warmth and the earth again began to look green, confirmed in an especial manner the bitterness and horror of my feelings.",MWS
id12030,The drawing itself became ineffably dear to her.,MWS
id13020,"The second chamber was purple in its ornaments and tapestries, and here the panes were purple.",EAP
id25327,"All through seven lands have I sought thee, and some day shall I reign over thy groves and gardens, thy streets and palaces, and sing to men who shall know whereof I sing, and laugh not nor turn away.",HPL
id16344,"Corn we have none, and the crude fruits cannot support us.",MWS
id12303,"It would be of no use, my informant said, to ask the natives anything about the place.",HPL
id06332,"One day, whilst sauntering along the streets, I arrested myself in the act of murmuring, half aloud, these customary syllables.",EAP
id22941,"He seemed relieved on seeing me, and would talk with some degree of interest on the affairs of the day.",MWS
id13547,"But they were so systematically arranged, and his arguments so well supported, that though still in appearance incredulous, she began to fear him.",MWS
id06928,The whole strength of Evadne's mind was exerted to support the failing spirits of her husband.,MWS
id25716,I pitied him from the bottom of my heart.,EAP
id19941,"Far from the shore stands the grey lighthouse, above sunken slimy rocks that are seen when the tide is low, but unseen when the tide is high.",HPL
id05711,"You must nominate me, Lionel; Ryland, for shame, cannot shew himself; but you, my friend, will do me this service?",MWS
id02097,"Never before had he, who was born even to the inheritance of the throne of England, never had he asked favour or honour from those now his equals, but who might have been his subjects.",MWS
id03563,"For one thing, the people were more hideous and abnormal than those near the centre of the town; so that I was several times evilly reminded of something utterly fantastic which I could not quite place.",HPL
id02295,Then he gave a start.,HPL
id05332,"It was too good to be normal, and the villagers were afraid.",HPL
id17026,Yet mine shall not be the submission of abject slavery.,MWS
id19989,"My eyes then fell, as I called to mind the circumstances of a former night, to the spot beneath the glare of the censer where I had seen the faint traces of the shadow.",EAP
id25173,"I now also began to collect the materials necessary for my new creation, and this was to me like the torture of single drops of water continually falling on the head.",MWS
id03034,"There was no light, but I knew from the empty space at my right that Tobey was gone, God alone knew whither.",HPL
id07956,"Vitality had not altogether departed, and she was aroused by the caresses of her lover from the lethargy which had been mistaken for death.",EAP
id02648,Thus passionately Perdita ran on.,MWS
id12846,"This sentiment of the worth of my nature supported me when others would have been oppressed, for I deemed it criminal to throw away in useless grief those talents that might be useful to my fellow creatures.",MWS
id05763,"Still, as I ascended higher, the valley assumed a more magnificent and astonishing character.",MWS
id04912,"FOR the most wild, yet most homely narrative which I am about to pen, I neither expect nor solicit belief.",EAP
id07223,The people around me saw nothing of all this.,MWS
id00935,I have murdered the lovely and the helpless; I have strangled the innocent as they slept and grasped to death his throat who never injured me or any other living thing.,MWS
id17476,"But it might have been long; for I knew there were demons who took note of my swoon, and who could have arrested the vibration at pleasure.",EAP
id13397,"Conversation, also, soon tended to dispel my sense of strangeness; and in time I yielded to my yawns and took my turn at slumber.",HPL
id16884,"Her tales, however, commanded a wide audience, and were the more readily accepted because the house indeed stood on land once used for burial purposes.",HPL
id07831,"I am writing this under an appreciable mental strain, since by tonight I shall be no more.",HPL
id16038,And now the first positive effort to think.,EAP
id21835,"He grew deranged through love, and fancied himself possessed of two heads.",EAP
id20838,My sensations upon recognising this sign of actual peril were perhaps less rather than more tumultuous because of my previous vague fears.,HPL
id15957,"Dr. Torres knew, but the shock killed him.",HPL
id19956,"United to her, cherished in her dear heart, never again shall I know the misery of finding myself alone.",MWS
id16839,Perhaps I should not hope to convey in mere words the unutterable hideousness that can dwell in absolute silence and barren immensity.,HPL
id14493,That you did combine them I saw by the character of the smile which passed over your lips.,EAP
id15723,Do you remember your father?,MWS
id06689,As the bus reached a lower level I began to catch the steady note of a waterfall through the unnatural stillness.,HPL
id04466,"So, perhaps, do his companions; and the difference in the extent of the information obtained, lies not so much in the validity of the inference as in the quality of the observation.",EAP
id09010,"The parchment was voluminous, and held only the strange hieroglyphs of an unknown tongue written with an antique reed.",HPL
id23353,"The motion of this latter is thought, of which perception is the first undulation.",EAP
id15724,"He is the soul of antique Aegyptus, and bearer of tales from forgotten cities in Meroë and Ophir.",HPL
id23486,"He and his companion entered the cottage, in which they remained for a few minutes, and then departed.",MWS
id22258,"I now made arrangements for my journey, but one feeling haunted me which filled me with fear and agitation.",MWS
id25522,"He bequeathed his widow and orphans to the friendship of his royal master, and felt satisfied that, by this means, their prosperity was better assured in his death than in his life.",MWS
id04204,It would be barbarous to do more than suggest what had killed Gilman.,HPL
id22016,This witness volunteered his testimony.,EAP
id16117,"I had hitherto attended the schools of Geneva, but my father thought it necessary for the completion of my education that I should be made acquainted with other customs than those of my native country.",MWS
id17000,"All the houses were apparently deserted, and there were occasional gaps where tumbledown chimneys and cellar walls told of buildings that had collapsed.",HPL
id00398,The lady was dressed in a dark suit and covered with a thick black veil.,MWS
id10022,"When we were together, my friend was always far ahead; I could comprehend his presence despite the absence of form by a species of pictorial memory whereby his face appeared to me, golden from a strange light and frightful with its weird beauty, its anomalously youthful cheeks, its burning eyes, its Olympian brow, and its shadowing hair and growth of beard.",HPL
id15901,"Unbend your brow; relax the stern melancholy of your regard; permit a friend, a sincere, affectionate friend, I will be one, to convey some relief, some momentary pause to your sufferings.",MWS
id00451,"Suddenly, as I gazed on him, an idea seized me that this little creature was unprejudiced and had lived too short a time to have imbibed a horror of deformity.",MWS
id23129,"Nevertheless, as I saw Dr. Muñoz in that blast of cool air, I felt a repugnance which nothing in his aspect could justify.",HPL
id26498,"My chief acquaintances at Lefferts Corners had been the affable reporters, of whom several still remained to collect final echoes of the tragedy.",HPL
id18453,"And now I leapt up precipitately, and escaped from the hut, before nature could revoke her laws, and inorganic words be breathed in answer from the lips of the departed.",MWS
id08309,"He seemed to be making an effort to reply, but had no longer sufficient volition.",EAP
id01556,"My endeavours were directed towards urging them to their usual attention to their crops, and to the acting as if pestilence did not exist.",MWS
id23018,At other times I was quickly and impetuously smitten.,EAP
id11202,"Most of the bodies, while roughly bipedal, had a forward slumping, and a vaguely canine cast.",HPL
id09578,The idea struck my fancy at once.,EAP
id26984,My immediate sensations are incapable of analysis.,HPL
id12052,The desert mountains and dreary glaciers are my refuge.,MWS
id17728,"I turned from his marked, iron countenance to Raymond, whose face, veiled by a smile, would not betray his care; yet his lips quivered somewhat, and his hand clasped the bench on which he sat, with a convulsive strength that made the muscles start again.",MWS
id24608,"He came now to announce to us the completion of his Essay on the Pericyclical Motions of the Earth's Axis, and the precession of the equinoctial points.",MWS
id21097,"I felt almost ready to faint while he had stood there, but I had not betrayed my wakefulness by the slightest motion, although I had heard my own heart beat with violent fear.",MWS
id15144,"The shriek, I said, was my own in a dream.",EAP
id06417,"Now that I am telling it anyway, lest the brooding make me a maniac, I wish I had never concealed it.",HPL
id00215,"Gilman must see a specialist sooner or later, but not just now, when all the papers were full of this kidnapping business.",HPL
id12451,"Often I played in the gardens and waded in the pools, and lay and dreamed among the pale flowers under the trees.",HPL
id14250,"He turned very pale, but agreed to help me, and decided that it would now be safe to rent the house.",HPL
id03433,"They from the air told me at Sabbat that it will be years before I can clear off the earth, and I guess grandfather will be dead then, so I shall have to learn all the angles of the planes and all the formulas between the Yr and the Nhhngr.",HPL
id03303,"This imperfect companionship, and our masquerade of union, are strangely dear to me.",MWS
id25901,"No one recalled their identity, and they were soon forgotten by the many.",HPL
id16300,"When, in the course of his composition, he arrived at a break in his subject which would naturally require a pause, or a point, he would be exceedingly apt to run his characters, at this place, more than usually close together.",EAP
id12478,Why would they not be gone?,EAP
id03076,"Now she sedulously put herself out of the question, sacrificing even her anxiety for his health and welfare to her resolve not to oppose any of his desires.",MWS
id00969,"I noticed idly that it did not seem to be bricked up, and that a heavy disc of wood formed the apparent cover.",HPL
id23636,He hoped the electric lights would not go out.,HPL
id09791,Woodville was the son of a poor clergyman and had received a classical education.,MWS
id05680,"But these horrors took him only to the edge of reality, and were not of the true dream country he had known in youth; so that at fifty he despaired of any rest or contentment in a world grown too busy for beauty and too shrewd for dream.",HPL
id03672,"Amid these hushed throngs I followed my voiceless guides; jostled by elbows that seemed preternaturally soft, and pressed by chests and stomachs that seemed abnormally pulpy; but seeing never a face and hearing never a word.",HPL
id04286,"The men of Teloth are dark and stern, and dwell in square houses, and with frowns they asked the stranger whence he had come and what were his name and fortune.",HPL
id11914,What can I say that will enable you to understand the depth of my sorrow?,MWS
id20974,"It would be hard, the youth implied, to form any real conclusions regarding such a matter; since one never came to know the natives personally no matter how long one might live in Innsmouth.",HPL
id26125,"What wonder, that this year, when as we are told, its virulence is unexampled in Asia, that it should have occasioned double havoc in that city?",MWS
id15543,"She had drifted somewhat under the keel of the vessel, and her being out of sight occasioned the delay in finding her.",MWS
id09321,"Klenze and I did not like these displays of peasant ignorance, and severely reprimanded the men, particularly Müller.",HPL
id25560,"Perdita rested on his restored society, on his love, his hopes and fame, even as a Sybarite on a luxurious couch; every thought was transport, each emotion bathed as it were in a congenial and balmy element.",MWS
id09788,"Light and darkness were struggling together, and the orient was streaked by roseate and golden rays.",MWS
id11815,"There was so much ancient lore in that Street, that the past could not easily be forgotten.",HPL
id05677,"After some hours he revived, recognized individuals of his acquaintance, and, in broken sentences spoke of his agonies in the grave.",EAP
id10498,"Counting the parties so far glimpsed, as well as those presumably covering other roads, the number of my pursuers must be strangely large for a town as depopulated as Innsmouth.",HPL
id25928,"He rose, he said, to speak in favour of the honourable member's motion, with one slight amendment subjoined.",MWS
id20877,"It was very strange, but as the riders went on they seemed to gallop back through Time; for whenever they passed through a village in the twilight they saw only such houses and villages as Chaucer or men before him might have seen, and sometimes they saw knights on horseback with small companies of retainers.",HPL
id08126,"Let us suppose that Socrates, or Shakespear, or Rousseau had been seized with despair and died in youth when they were as young as I am; do you think that we and all the world should not have lost incalculable improvement in our good feelings and our happiness thro' their destruction.",MWS
id12759,"If you will observe the MS., in the present instance, you will easily detect five such cases of unusual crowding.",EAP
id25846,It was probably from him that some of the wildest popular whispers and delusions were derived.,HPL
id01939,I believe that most people in my situation would have acted in the same manner.,MWS
id26327,Suddenly a heavy storm of rain descended.,MWS
id11068,"He hastened to her sick room; she lay, her cheeks burning with fever, yet her eyes were closed and she was seemingly senseless.",MWS
id27189,"Especially did he object to my preoccupation with the mystical and the unexplained; for although believing in the supernatural much more fully than I, he would not admit that it is sufficiently commonplace for literary treatment.",HPL
id18777,Was she to cease to love?,MWS
id03777,"The free and happy peasant, unshackled by the Austrian, bears the double harvest to the garner; and the refined citizens rear without dread the long blighted tree of knowledge in this garden of the world.",MWS
id10595,"And most marvellous of all, what deep and more than natural linkage of dates was this which gave a malign and now undeniable significance to the various turns of events so carefully noted by my uncle?",HPL
id24629,"I took courage, and looked once again upon the scene.",EAP
id20398,"A being whom I myself had formed, and endued with life, had met me at midnight among the precipices of an inaccessible mountain.",MWS
id14108,"But she would not be put off; secure of his unaltered love, she was willing to undertake any labour, use any entreaty, to dispel his anger.",MWS
id06196,"Carter vaguely understood that he would find within it some key to the lost gate of dreams, but of where and how to use it his grandfather had told him nothing.",HPL
id18732,"Ghastly and terrible was that dead, stairless cylinder of rock; black, ruined, and deserted, and sinister with startled bats whose wings made no noise.",HPL
id11915,He was a menacing military figure who talked without moving his lips and whose voice seemed almost ventriloquially connected with an immense black case he carried.,HPL
id00414,"His heart, he knew not why prognosticated misfortune; he had not heard from her again; he feared she might be worse and this fear made him impatient and restless for the moment of beholding her once more stand before him arrayed in health and beauty; for a sinister voice seemed always to whisper to him, ""You will never more behold her as she was.""",MWS
id14043,The revulsion of thought passed like keen steel to my heart.,MWS
id19257,"V. This, probably, is because you have no sufficiently generic conception of the term ""substance"" itself.",EAP
id15437,"Here, however, a new trouble developed; for the ship failed to respond to our direction in spite of all that the mechanics could do.",HPL
id16352,I had often made depredations on these preserves; and the neglected state of the property facilitated my incursions.,MWS
id18849,"We crossed the ice, therefore, and ascended the opposite rock.",MWS
id17928,"A moral tempest had wrecked our richly freighted vessel, and we, remnants of the diminished crew, were aghast at the losses and changes which we had undergone.",MWS
id02135,"Again he was silent, and after a pause turned to me laughingly.",MWS
id09603,But his next whisper found me still held inert in the chains of stark horror.,HPL
id02133,Surely the imaginative blacks had made the most of whatever events might lie behind the extravagant legendry.,HPL
id02398,"That summit was undeniably a centre from which the lines or rows of points radiated indefinitely and irregularly, as if the unwholesome Martense mansion had thrown visible tentacles of terror.",HPL
id17838,"Now my desires were complied with, and it would, indeed, have been folly to repent.",MWS
id09998,A few events of this kind roused the fiery nature of the Irish; and they attacked the invaders.,MWS
id01828,"But he neither answered me nor abated the frenzy of his unutterable music, while all through the garret strange currents of wind seemed to dance in the darkness and babel.",HPL
id25377,Exhaustion succeeded to the extreme fatigue both of body and of mind which I had endured.,MWS
id22175,"Not for centuries had any man recalled its vital substance or known where to find it, but this book was very old indeed.",HPL
id02974,"These were my first reflections, but I soon learned that Mr. Kirwin had shown me extreme kindness.",MWS
id21091,"A careful investigation rendered it evident that she had revived within two days after her entombment; that her struggles within the coffin had caused it to fall from a ledge, or shelf to the floor, where it was so broken as to permit her escape.",EAP
id07432,"Beyond the scarred trunks in the background, illumined by faint flashes of filtered lightning, rose the damp ivied stones of the deserted mansion, while somewhat nearer was the abandoned Dutch garden whose walks and beds were polluted by a white, fungous, foetid, overnourished vegetation that never saw full daylight.",HPL
id18749,"Not only did they fail to correspond with any known element, but they did not even fit the vacant places reserved for probable elements in the periodic system.",HPL
id25706,"He would travel leagues to follow up a furtive village tale of abnormal wonder, and once went into the desert of Araby to seek a Nameless City of faint report, which no man has ever beheld.",HPL
id04943,"His voice, if queer, was at least soothing; and I could not even perceive that he breathed as the fluent sentences rolled urbanely out.",HPL
id27566,"In the mean time the cannon roared; the music lifted up its enlivening voice at intervals; and we on the highest of the mounds I mentioned, too far off to observe the fallen sheaves which death gathered into his storehouse, beheld the regiments, now lost in smoke, now banners and staves peering above the cloud, while shout and clamour drowned every sound.",MWS
id13783,"I muttered a hurried prayer to God, and thought all was over.",EAP
id00492,You have been sadly visited; nor do I wonder that a feeling akin to insanity should drive you to bitter and unreasonable imaginings.,MWS
id04019,"He was haunted by the fear of causing the death of one or other of the beings implicated in these events; and he could not persuade himself to undertake to direct the course of events, lest, ignorant of the land he traversed, he should lead those attached to the car into irremediable ruin.",MWS
id09305,"""Let us go, nevertheless.",EAP
id16460,"Besides, I had a contempt for the uses of modern natural philosophy.",MWS
id02551,"Our children, freed from the bondage of winter, bounded before us; pursuing the deer, or rousing the pheasants and partridges from their coverts.",MWS
id19352,"""Nay, pardon me,"" he replied; ""I have no right to command or reproach; but my life hangs on your departure and speedy return.",MWS
id03806,"She whom I loved in youth, and of whom I now pen calmly and distinctly these remembrances, was the sole daughter of the only sister of my mother long departed.",EAP
id18761,"Presently I saw the head slowly and slightly change its position; and soon I became convinced that the lady, while pretending to look at the stage was, in fact, attentively regarding myself.",EAP
id18442,"He had strong hopes of now recapturing the brute, as it could scarcely escape from the trap into which it had ventured, except by the rod, where it might be intercepted as it came down.",EAP
id23002,"Poverty, dirt, and squalid misery characterized its appearance.",MWS
id06610,"He intended to leave his daughter under the care of a confidential servant, to follow at her leisure with the greater part of his property, which had not yet arrived at Leghorn.",MWS
id16173,To speculate was futile.,HPL
id18292,"When I run over the frightful catalogue of my sins, I cannot believe that I am the same creature whose thoughts were once filled with sublime and transcendent visions of the beauty and the majesty of goodness.",MWS
id05761,He grasped my hand with a nervous empressement which alarmed me and strengthened the suspicions already entertained.,EAP
id12207,"Gilman awakened in his bed, drenched by a cold perspiration and with a smarting sensation in his face, hands, and feet.",HPL
id05665,"Her husband became bankrupt, and then in a tumult and threatened massacre on the part of the Turks, they were obliged to fly at midnight, and reached in an open boat an English vessel under sail, which brought them immediately to this island.",MWS
id01911,The odor of the sharp steel forced itself into my nostrils.,EAP
id19153,"Now his death has crowned his life, and to the end of time it will be remembered, that he devoted himself, a willing victim, to the glory of Greece.",MWS
id23038,What new crotchet possessed his excitable brain?,EAP
id23783,"The troopers were more sceptical; including the mansion only casually in their investigations, and dropping it altogether when they found it thoroughly deserted.",HPL
id21296,"Four of them reeled, one fainted, and two were shaken into a frantic cry which the mad cacophony of the orgy fortunately deadened.",HPL
id13262,"I took their word for all that they averred, and I became their disciple.",MWS
id10333,"It was toward the close of the fifth or sixth month of his seclusion, and while the pestilence raged most furiously abroad, that the Prince Prospero entertained his thousand friends at a masked ball of the most unusual magnificence.",EAP
id01392,In an eternal separation only can either of us hope for dignity and propriety of action.,MWS
id02294,The Tale of Inspector Legrasse.,HPL
id18298,"That hour passed, the sun mounted high in the heavens, but the cottagers did not appear.",MWS
id11512,"My favourite vision was that when I grew up I would leave my aunt, whose coldness lulled my conscience, and disguised like a boy I would seek my father through the world.",MWS
id00478,"It would have been useless to have opposed these impulses by barriers, which would only have driven those actuated by them to more pernicious indulgencies.",MWS
id03863,No detail was missing.,HPL
id11682,"He said nothing, however, and his conduct greatly astonished me; yet I thought it prudent not to exacerbate the growing moodiness of his temper by any comment.",EAP
id09286,"That night I slept but little, and the next day I made for myself a pack containing food and water, preparatory to an overland journey in search of the vanished sea and possible rescue.",HPL
id22398,"Barzai forged very far ahead, and seemed despite his age to climb more easily than Atal; fearing not the steepness that began to grow too great for any save a strong and dauntless man, nor pausing at wide black chasms that Atal scarce could leap.",HPL
id00424,I believe that I bore an individual attachment to every tree in our park; every animal that inhabited it knew me and I loved them.,MWS
id20960,These windows were of stained glass whose color varied in accordance with the prevailing hue of the decorations of the chamber into which it opened.,EAP
id19330,"If these feelings had not found an imaginary gratification, the appearance of the city had yet in itself sufficient beauty to obtain our admiration.",MWS
id10785,He purposely kept out of my way to avoid giving me the introduction.,EAP
id00955,"Kinder like Injuns, I guess, even ef they be in Afriky.",HPL
id09757,"West liked to think that before his recent disappearance, but there were times when he could not; for it was queer that we both had the same hallucination.",HPL
id10030,I admired his justice and patience.,MWS
id22952,"We had had three children; one, the second in age, died while I was in Greece.",MWS
id21955,My fears for Adrian were ceaseless; August had come; and the symptoms of plague encreased rapidly in London.,MWS
id13760,"The stagnant waters, lately quite devoid of animal life, now teemed with a horde of slimy enormous frogs which piped shrilly and incessantly in tones strangely out of keeping with their size.",HPL
id26709,"Many females, for example, whose age could not have been less than seventy were bedecked with a profusion of jewelry, such as rings, bracelets, and earrings, and wore their bosoms and arms shamefully bare.",EAP
id02853,"To and fro in the seven chambers there stalked, in fact, a multitude of dreams.",EAP
id14758,"I knew not which to believe, yet longed more and more to cross forever into the unknown land; for doubt and secrecy are the lure of lures, and no new horror can be more terrible than the daily torture of the commonplace.",HPL
id12356,"With the algebraists, however, who are Pagans themselves, the 'Pagan fables' are believed, and the inferences are made, not so much through lapse of memory, as through an unaccountable addling of the brains.",EAP
id27540,"A mind of moderate capacity which closely pursues one study must infallibly arrive at great proficiency in that study; and I, who continually sought the attainment of one object of pursuit and was solely wrapped up in this, improved so rapidly that at the end of two years I made some discoveries in the improvement of some chemical instruments, which procured me great esteem and admiration at the university.",MWS
id23388,"Such a quest demands strange materials, among them fresh human bodies; and in order to keep supplied with these indispensable things one must live quietly and not far from a place of informal interment.",HPL
id00794,"My eyes, bewitched by the glassy orbs which stared loathsomely into them, refused to close; though they were mercifully blurred, and shewed the terrible object but indistinctly after the first shock.",HPL
id23910,"Darkness gathered round; the objects about me became indistinct, I descended from my station, and with difficulty guided my horse, so as to avoid the slain.",MWS
id22151,"Armitage had an idea that the alphabet might be something esoterically used by certain forbidden cults which have come down from old times, and which have inherited many forms and traditions from the wizards of the Saracenic world.",HPL
id11627,"On a platform erected beneath the terrace, a number of the younger part of the assembly were dancing.",MWS
id05123,The truth at length flashed upon me.,EAP
id04002,"We felt that they were not the tyrants to rule our lot according to their caprice, but the agents and creators of all the many delights which we enjoyed.",MWS
id12964,It has weighed on my spirits ever since.,MWS
id26742,"The same yearning of this warm, panting heart, that has made me in written words record my vagabond youth, my serene manhood, and the passions of my soul, makes me now recoil from further delay.",MWS
id16647,Day by day we are forced to believe this.,MWS
id11544,"Preparations were made for the event, congratulatory visits were received, and all wore a smiling appearance.",MWS
id20581,His sensibility and courtesy fascinated every one.,MWS
id13192,"As soon as they forced an entrance, they reclosed the door, to keep out the crowd, which collected very fast, notwithstanding the lateness of the hour.",EAP
id15814,"The king had, in compliance with her exactions, cast off his old friends, but he had acquired no new ones under her guidance.",MWS
id15085,"The time would be easy to know, for then mankind would have become as the Great Old Ones; free and wild and beyond good and evil, with laws and morals thrown aside and all men shouting and killing and revelling in joy.",HPL
id17495,The nurses' attentions were continual.,EAP
id26762,"Attended only by my servant, I dug a deep grave for her at the foot of the tree, and without disturbing her warrior shroud, I placed her in it, heaping stones upon the grave.",MWS
id26751,"Then, for weeks, all was void, and black, and silent, and Nothing became the universe.",EAP
id12351,"Here he took cautiously hold of the extreme end of the string, and, maintaining the insect as far from his person as circumstances would permit, prepared to ascend the tree.",EAP
