text,author
They are with propriety handled only when the severity and majesty of Truth sanctify and sustain them.,EAP
"We thrill, for example, with the most intense of ""pleasurable pain"" over the accounts of the Passage of the Beresina, of the Earthquake at Lisbon, of the Plague at London, of the Massacre of St. Bartholomew, or of the stifling of the hundred and twenty-three prisoners in the Black Hole at Calcutta.",EAP
But in these accounts it is the fact -- it is the reality -- it is the history which excites.,EAP
"As inventions, we should regard them with simple abhorrence.",EAP
"I have mentioned some few of the more prominent and august calamities on record; but in these it is the extent, not less than the character of the calamity, which so vividly impresses the fancy.",EAP
"I need not remind the reader that, from the long and weird catalogue of human miseries, I might have selected many individual instances more replete with essential suffering than any of these vast generalities of disaster.",EAP
"The true wretchedness, indeed -- the ultimate woe -- is particular, not diffuse.",EAP
"That the ghastly extremes of agony are endured by man the unit, and never by man the mass -- for this let us thank a merciful God!",EAP
"To be buried while alive is, beyond question, the most terrific of these extremes which has ever fallen to the lot of mere mortality.",EAP
"That it has frequently, very frequently, so fallen will scarcely be denied by those who think.",EAP
The boundaries which divide Life from Death are at best shadowy and vague.,EAP
"Who shall say where the one ends, and where the other begins?",EAP
"We know that there are diseases in which occur total cessations of all the apparent functions of vitality, and yet in which these cessations are merely suspensions, properly so called.",EAP
They are only temporary pauses in the incomprehensible mechanism.,EAP
"A certain period elapses, and some unseen mysterious principle again sets in motion the magic pinions and the wizard wheels.",EAP
"The silver cord was not for ever loosed, nor the golden bowl irreparably broken.",EAP
"But where, meantime, was the soul?",EAP
"Apart, however, from the inevitable conclusion, a priori that such causes must produce such effects --that the well-known occurrence of such cases of suspended animation must naturally give rise, now and then, to premature interments --apart from this consideration, we have the direct testimony of medical and ordinary experience to prove that a vast number of such interments have actually taken place.",EAP
"I might refer at once, if necessary to a hundred well authenticated instances.",EAP
"One of very remarkable character, and of which the circumstances may be fresh in the memory of some of my readers, occurred, not very long ago, in the neighboring city of Baltimore, where it occasioned a painful, intense, and widely-extended excitement.",EAP
"The wife of one of the most respectable citizens-a lawyer of eminence and a member of Congress --was seized with a sudden and unaccountable illness, which completely baffled the skill of her physicians.",EAP
"After much suffering she died, or was supposed to die.",EAP
"No one suspected, indeed, or had reason to suspect, that she was not actually dead.",EAP
She presented all the ordinary appearances of death.,EAP
The face assumed the usual pinched and sunken outline.,EAP
The lips were of the usual marble pallor.,EAP
The eyes were lustreless.,EAP
There was no warmth.,EAP
"For three days the body was preserved unburied, during which it had acquired a stony rigidity.",EAP
"The funeral, in short, was hastened, on account of the rapid advance of what was supposed to be decomposition.",EAP
"The lady was deposited in her family vault, which, for three subsequent years, was undisturbed.",EAP
"At the expiration of this term it was opened for the reception of a sarcophagus; -- but, alas!",EAP
"how fearful a shock awaited the husband, who, personally, threw open the door!",EAP
"As its portals swung outwardly back, some white-apparelled object fell rattling within his arms.",EAP
It was the skeleton of his wife in her yet unmoulded shroud.,EAP
"A careful investigation rendered it evident that she had revived within two days after her entombment; that her struggles within the coffin had caused it to fall from a ledge, or shelf to the floor, where it was so broken as to permit her escape.",EAP
"A lamp which had been accidentally left, full of oil, within the tomb, was found empty; it might have been exhausted, however, by evaporation.",EAP
"On the uttermost of the steps which led down into the dread chamber was a large fragment of the coffin, with which, it seemed, that she had endeavored to arrest attention by striking the iron door.",EAP
"While thus occupied, she probably swooned, or possibly died, through sheer terror; and, in failing, her shroud became entangled in some iron -- work which projected interiorly.",EAP
"Thus she remained, and thus she rotted, erect.",EAP
"In the year 1810, a case of living inhumation happened in France, attended with circumstances which go far to warrant the assertion that truth is, indeed, stranger than fiction.",EAP
"The heroine of the story was a Mademoiselle Victorine Lafourcade, a young girl of illustrious family, of wealth, and of great personal beauty.",EAP
"Among her numerous suitors was Julien Bossuet, a poor litterateur, or journalist of Paris.",EAP
"His talents and general amiability had recommended him to the notice of the heiress, by whom he seems to have been truly beloved; but her pride of birth decided her, finally, to reject him, and to wed a Monsieur Renelle, a banker and a diplomatist of some eminence.",EAP
"After marriage, however, this gentleman neglected, and, perhaps, even more positively ill-treated her.",EAP
"Having passed with him some wretched years, she died, -- at least her condition so closely resembled death as to deceive every one who saw her.",EAP
"She was buried -- not in a vault, but in an ordinary grave in the village of her nativity.",EAP
"Filled with despair, and still inflamed by the memory of a profound attachment, the lover journeys from the capital to the remote province in which the village lies, with the romantic purpose of disinterring the corpse, and possessing himself of its luxuriant tresses.",EAP
He reaches the grave.,EAP
"At midnight he unearths the coffin, opens it, and is in the act of detaching the hair, when he is arrested by the unclosing of the beloved eyes.",EAP
"In fact, the lady had been buried alive.",EAP
"Vitality had not altogether departed, and she was aroused by the caresses of her lover from the lethargy which had been mistaken for death.",EAP
He bore her frantically to his lodgings in the village.,EAP
He employed certain powerful restoratives suggested by no little medical learning.,EAP
"In fine, she revived.",EAP
She recognized her preserver.,EAP
"She remained with him until, by slow degrees, she fully recovered her original health.",EAP
"Her woman's heart was not adamant, and this last lesson of love sufficed to soften it.",EAP
She bestowed it upon Bossuet.,EAP
"She returned no more to her husband, but, concealing from him her resurrection, fled with her lover to America.",EAP
"Twenty years afterward, the two returned to France, in the persuasion that time had so greatly altered the lady's appearance that her friends would be unable to recognize her.",EAP
"They were mistaken, however, for, at the first meeting, Monsieur Renelle did actually recognize and make claim to his wife.",EAP
"This claim she resisted, and a judicial tribunal sustained her in her resistance, deciding that the peculiar circumstances, with the long lapse of years, had extinguished, not only equitably, but legally, the authority of the husband.",EAP
"The ""Chirurgical Journal"" of Leipsic -- a periodical of high authority and merit, which some American bookseller would do well to translate and republish, records in a late number a very distressing event of the character in question.",EAP
"An officer of artillery, a man of gigantic stature and of robust health, being thrown from an unmanageable horse, received a very severe contusion upon the head, which rendered him insensible at once; the skull was slightly fractured, but no immediate danger was apprehended.",EAP
Trepanning was accomplished successfully.,EAP
"He was bled, and many other of the ordinary means of relief were adopted.",EAP
"Gradually, however, he fell into a more and more hopeless state of stupor, and, finally, it was thought that he died.",EAP
"The weather was warm, and he was buried with indecent haste in one of the public cemeteries.",EAP
His funeral took place on Thursday.,EAP
"On the Sunday following, the grounds of the cemetery were, as usual, much thronged with visiters, and about noon an intense excitement was created by the declaration of a peasant that, while sitting upon the grave of the officer, he had distinctly felt a commotion of the earth, as if occasioned by some one struggling beneath.",EAP
"At first little attention was paid to the man's asseveration; but his evident terror, and the dogged obstinacy with which he persisted in his story, had at length their natural effect upon the crowd.",EAP
"Spades were hurriedly procured, and the grave, which was shamefully shallow, was in a few minutes so far thrown open that the head of its occupant appeared.",EAP
"He was then seemingly dead; but he sat nearly erect within his coffin, the lid of which, in his furious struggles, he had partially uplifted.",EAP
"He was forthwith conveyed to the nearest hospital, and there pronounced to be still living, although in an asphytic condition.",EAP
"After some hours he revived, recognized individuals of his acquaintance, and, in broken sentences spoke of his agonies in the grave.",EAP
"From what he related, it was clear that he must have been conscious of life for more than an hour, while inhumed, before lapsing into insensibility.",EAP
The grave was carelessly and loosely filled with an exceedingly porous soil; and thus some air was necessarily admitted.,EAP
"He heard the footsteps of the crowd overhead, and endeavored to make himself heard in turn.",EAP
"It was the tumult within the grounds of the cemetery, he said, which appeared to awaken him from a deep sleep, but no sooner was he awake than he became fully aware of the awful horrors of his position.",EAP
"This patient, it is recorded, was doing well and seemed to be in a fair way of ultimate recovery, but fell a victim to the quackeries of medical experiment.",EAP
"The galvanic battery was applied, and he suddenly expired in one of those ecstatic paroxysms which, occasionally, it superinduces.",EAP
"The mention of the galvanic battery, nevertheless, recalls to my memory a well known and very extraordinary case in point, where its action proved the means of restoring to animation a young attorney of London, who had been interred for two days.",EAP
"This occurred in 1831, and created, at the time, a very profound sensation wherever it was made the subject of converse.",EAP
"The patient, Mr. Edward Stapleton, had died, apparently of typhus fever, accompanied with some anomalous symptoms which had excited the curiosity of his medical attendants.",EAP
"Upon his seeming decease, his friends were requested to sanction a post-mortem examination, but declined to permit it.",EAP
"As often happens, when such refusals are made, the practitioners resolved to disinter the body and dissect it at leisure, in private.",EAP
"Arrangements were easily effected with some of the numerous corps of body-snatchers, with which London abounds; and, upon the third night after the funeral, the supposed corpse was unearthed from a grave eight feet deep, and deposited in the opening chamber of one of the private hospitals.",EAP
"An incision of some extent had been actually made in the abdomen, when the fresh and undecayed appearance of the subject suggested an application of the battery.",EAP
"One experiment succeeded another, and the customary effects supervened, with nothing to characterize them in any respect, except, upon one or two occasions, a more than ordinary degree of life-likeness in the convulsive action.",EAP
"The day was about to dawn; and it was thought expedient, at length, to proceed at once to the dissection.",EAP
"A student, however, was especially desirous of testing a theory of his own, and insisted upon applying the battery to one of the pectoral muscles.",EAP
"A rough gash was made, and a wire hastily brought in contact, when the patient, with a hurried but quite unconvulsive movement, arose from the table, stepped into the middle of the floor, gazed about him uneasily for a few seconds, and then -- spoke.",EAP
"What he said was unintelligible, but words were uttered; the syllabification was distinct.",EAP
"Having spoken, he fell heavily to the floor.",EAP
For some moments all were paralyzed with awe -- but the urgency of the case soon restored them their presence of mind.,EAP
"It was seen that Mr. Stapleton was alive, although in a swoon.",EAP
"Upon exhibition of ether he revived and was rapidly restored to health, and to the society of his friends -- from whom, however, all knowledge of his resuscitation was withheld, until a relapse was no longer to be apprehended.",EAP
Their wonder -- their rapturous astonishment -- may be conceived.,EAP
"The most thrilling peculiarity of this incident, nevertheless, is involved in what Mr. S. himself asserts.",EAP
"He declares that at no period was he altogether insensible -- that, dully and confusedly, he was aware of everything which happened to him, from the moment in which he was pronounced dead by his physicians, to that in which he fell swooning to the floor of the hospital.",EAP
"""I am alive,"" were the uncomprehended words which, upon recognizing the locality of the dissecting-room, he had endeavored, in his extremity, to utter.",EAP
"It were an easy matter to multiply such histories as these -- but I forbear -- for, indeed, we have no need of such to establish the fact that premature interments occur.",EAP
"When we reflect how very rarely, from the nature of the case, we have it in our power to detect them, we must admit that they may frequently occur without our cognizance.",EAP
"Scarcely, in truth, is a graveyard ever encroached upon, for any purpose, to any great extent, that skeletons are not found in postures which suggest the most fearful of suspicions.",EAP
Fearful indeed the suspicion -- but more fearful the doom!,EAP
"It may be asserted, without hesitation, that no event is so terribly well adapted to inspire the supremeness of bodily and of mental distress, as is burial before death.",EAP
"The unendurable oppression of the lungs -- the stifling fumes from the damp earth -- the clinging to the death garments -- the rigid embrace of the narrow house -- the blackness of the absolute Night -- the silence like a sea that overwhelms -- the unseen but palpable presence of the Conqueror Worm -- these things, with the thoughts of the air and grass above, with memory of dear friends who would fly to save us if but informed of our fate, and with consciousness that of this fate they can never be informed -- that our hopeless portion is that of the really dead -- these considerations, I say, carry into the heart, which still palpitates, a degree of appalling and intolerable horror from which the most daring imagination must recoil.",EAP
We know of nothing so agonizing upon Earth -- we can dream of nothing half so hideous in the realms of the nethermost Hell.,EAP
"And thus all narratives upon this topic have an interest profound; an interest, nevertheless, which, through the sacred awe of the topic itself, very properly and very peculiarly depends upon our conviction of the truth of the matter narrated.",EAP
What I have now to tell is of my own actual knowledge -- of my own positive and personal experience.,EAP
"For several years I had been subject to attacks of the singular disorder which physicians have agreed to term catalepsy, in default of a more definitive title.",EAP
"Although both the immediate and the predisposing causes, and even the actual diagnosis, of this disease are still mysterious, its obvious and apparent character is sufficiently well understood.",EAP
Its variations seem to be chiefly of degree.,EAP
"Sometimes the patient lies, for a day only, or even for a shorter period, in a species of exaggerated lethargy.",EAP
"He is senseless and externally motionless; but the pulsation of the heart is still faintly perceptible; some traces of warmth remain; a slight color lingers within the centre of the cheek; and, upon application of a mirror to the lips, we can detect a torpid, unequal, and vacillating action of the lungs.",EAP
"Then again the duration of the trance is for weeks -- even for months; while the closest scrutiny, and the most rigorous medical tests, fail to establish any material distinction between the state of the sufferer and what we conceive of absolute death.",EAP
"Very usually he is saved from premature interment solely by the knowledge of his friends that he has been previously subject to catalepsy, by the consequent suspicion excited, and, above all, by the non-appearance of decay.",EAP
"The advances of the malady are, luckily, gradual.",EAP
"The first manifestations, although marked, are unequivocal.",EAP
"The fits grow successively more and more distinctive, and endure each for a longer term than the preceding.",EAP
In this lies the principal security from inhumation.,EAP
"The unfortunate whose first attack should be of the extreme character which is occasionally seen, would almost inevitably be consigned alive to the tomb.",EAP
My own case differed in no important particular from those mentioned in medical books.,EAP
"Sometimes, without any apparent cause, I sank, little by little, into a condition of hemi-syncope, or half swoon; and, in this condition, without pain, without ability to stir, or, strictly speaking, to think, but with a dull lethargic consciousness of life and of the presence of those who surrounded my bed, I remained, until the crisis of the disease restored me, suddenly, to perfect sensation.",EAP
At other times I was quickly and impetuously smitten.,EAP
"I grew sick, and numb, and chilly, and dizzy, and so fell prostrate at once.",EAP
"Then, for weeks, all was void, and black, and silent, and Nothing became the universe.",EAP
Total annihilation could be no more.,EAP
"From these latter attacks I awoke, however, with a gradation slow in proportion to the suddenness of the seizure.",EAP
Just as the day dawns to the friendless and houseless beggar who roams the streets throughout the long desolate winter night -- just so tardily -- just so wearily -- just so cheerily came back the light of the Soul to me.,EAP
"Apart from the tendency to trance, however, my general health appeared to be good; nor could I perceive that it was at all affected by the one prevalent malady -- unless, indeed, an idiosyncrasy in my ordinary sleep may be looked upon as superinduced.",EAP
"Upon awaking from slumber, I could never gain, at once, thorough possession of my senses, and always remained, for many minutes, in much bewilderment and perplexity; -- the mental faculties in general, but the memory in especial, being in a condition of absolute abeyance.",EAP
In all that I endured there was no physical suffering but of moral distress an infinitude.,EAP
"My fancy grew charnel, I talked ""of worms, of tombs, and epitaphs.""",EAP
"I was lost in reveries of death, and the idea of premature burial held continual possession of my brain.",EAP
The ghastly Danger to which I was subjected haunted me day and night.,EAP
"In the former, the torture of meditation was excessive -- in the latter, supreme.",EAP
"When the grim Darkness overspread the Earth, then, with every horror of thought, I shook -- shook as the quivering plumes upon the hearse.",EAP
"When Nature could endure wakefulness no longer, it was with a struggle that I consented to sleep -- for I shuddered to reflect that, upon awaking, I might find myself the tenant of a grave.",EAP
"And when, finally, I sank into slumber, it was only to rush at once into a world of phantasms, above which, with vast, sable, overshadowing wing, hovered, predominant, the one sepulchral Idea.",EAP
"From the innumerable images of gloom which thus oppressed me in dreams, I select for record but a solitary vision.",EAP
Methought I was immersed in a cataleptic trance of more than usual duration and profundity.,EAP
"Suddenly there came an icy hand upon my forehead, and an impatient, gibbering voice whispered the word ""Arise!""",EAP
The darkness was total.,EAP
I could not see the figure of him who had aroused me.,EAP
"I could call to mind neither the period at which I had fallen into the trance, nor the locality in which I then lay.",EAP
"While I remained motionless, and busied in endeavors to collect my thought, the cold hand grasped me fiercely by the wrist, shaking it petulantly, while the gibbering voice said again: ""Arise!",EAP
"did I not bid thee arise?""",EAP
"""And who,"" I demanded, ""art thou?""",EAP
"""I have no name in the regions which I inhabit,"" replied the voice, mournfully; ""I was mortal, but am fiend.",EAP
"I was merciless, but am pitiful.",EAP
Thou dost feel that I shudder.,EAP
"-- My teeth chatter as I speak, yet it is not with the chilliness of the night -- of the night without end.",EAP
But this hideousness is insufferable.,EAP
How canst thou tranquilly sleep?,EAP
I cannot rest for the cry of these great agonies.,EAP
These sights are more than I can bear.,EAP
"Come with me into the outer Night, and let me unfold to thee the graves.",EAP
Is not this a spectacle of woe?,EAP
"I looked; and the unseen figure, which still grasped me by the wrist, had caused to be thrown open the graves of all mankind, and from each issued the faint phosphoric radiance of decay, so that I could see into the innermost recesses, and there view the shrouded bodies in their sad and solemn slumbers with the worm.",EAP
"the real sleepers were fewer, by many millions, than those who slumbered not at all; and there was a feeble struggling; and there was a general sad unrest; and from out the depths of the countless pits there came a melancholy rustling from the garments of the buried.",EAP
"And of those who seemed tranquilly to repose, I saw that a vast number had changed, in a greater or less degree, the rigid and uneasy position in which they had originally been entombed.",EAP
"And the voice again said to me as I gazed: ""Is it not -- oh!",EAP
"is it not a pitiful sight?""",EAP
"-- but, before I could find words to reply, the figure had ceased to grasp my wrist, the phosphoric lights expired, and the graves were closed with a sudden violence, while from out them arose a tumult of despairing cries, saying again: ""Is it not -- O, God, is it not a very pitiful sight?""",EAP
"Phantasies such as these, presenting themselves at night, extended their terrific influence far into my waking hours.",EAP
"My nerves became thoroughly unstrung, and I fell a prey to perpetual horror.",EAP
"I hesitated to ride, or to walk, or to indulge in any exercise that would carry me from home.",EAP
"In fact, I no longer dared trust myself out of the immediate presence of those who were aware of my proneness to catalepsy, lest, falling into one of my usual fits, I should be buried before my real condition could be ascertained.",EAP
"I doubted the care, the fidelity of my dearest friends.",EAP
"I dreaded that, in some trance of more than customary duration, they might be prevailed upon to regard me as irrecoverable.",EAP
"I even went so far as to fear that, as I occasioned much trouble, they might be glad to consider any very protracted attack as sufficient excuse for getting rid of me altogether.",EAP
It was in vain they endeavored to reassure me by the most solemn promises.,EAP
"I exacted the most sacred oaths, that under no circumstances they would bury me until decomposition had so materially advanced as to render farther preservation impossible.",EAP
"And, even then, my mortal terrors would listen to no reason -- would accept no consolation.",EAP
I entered into a series of elaborate precautions.,EAP
"Among other things, I had the family vault so remodelled as to admit of being readily opened from within.",EAP
The slightest pressure upon a long lever that extended far into the tomb would cause the iron portal to fly back.,EAP
"There were arrangements also for the free admission of air and light, and convenient receptacles for food and water, within immediate reach of the coffin intended for my reception.",EAP
"This coffin was warmly and softly padded, and was provided with a lid, fashioned upon the principle of the vault-door, with the addition of springs so contrived that the feeblest movement of the body would be sufficient to set it at liberty.",EAP
"Besides all this, there was suspended from the roof of the tomb, a large bell, the rope of which, it was designed, should extend through a hole in the coffin, and so be fastened to one of the hands of the corpse.",EAP
what avails the vigilance against the Destiny of man?,EAP
"Not even these well-contrived securities sufficed to save from the uttermost agonies of living inhumation, a wretch to these agonies foredoomed!",EAP
There arrived an epoch -- as often before there had arrived -- in which I found myself emerging from total unconsciousness into the first feeble and indefinite sense of existence.,EAP
Slowly -- with a tortoise gradation -- approached the faint gray dawn of the psychal day.,EAP
An apathetic endurance of dull pain.,EAP
No care -- no hope -- no effort.,EAP
"Then, after a long interval, a ringing in the ears; then, after a lapse still longer, a prickling or tingling sensation in the extremities; then a seemingly eternal period of pleasurable quiescence, during which the awakening feelings are struggling into thought; then a brief re-sinking into non-entity; then a sudden recovery.",EAP
"At length the slight quivering of an eyelid, and immediately thereupon, an electric shock of a terror, deadly and indefinite, which sends the blood in torrents from the temples to the heart.",EAP
And now the first positive effort to think.,EAP
And now the first endeavor to remember.,EAP
And now a partial and evanescent success.,EAP
"And now the memory has so far regained its dominion, that, in some measure, I am cognizant of my state.",EAP
I feel that I am not awaking from ordinary sleep.,EAP
I recollect that I have been subject to catalepsy.,EAP
"And now, at last, as if by the rush of an ocean, my shuddering spirit is overwhelmed by the one grim Danger -- by the one spectral and ever-prevalent idea.",EAP
"For some minutes after this fancy possessed me, I remained without motion.",EAP
I could not summon courage to move.,EAP
I dared not make the effort which was to satisfy me of my fate -- and yet there was something at my heart which whispered me it was sure.,EAP
