,text,author
74,"He saw his mistress once before the destined ceremony; but she was bathed in tears, and throwing herself at his feet, entreated him to spare her, confessing at the same time that she loved another, but that he was poor, and that her father would never consent to the union.",MWS
75,"My generous friend reassured the suppliant, and on being informed of the name of her lover, instantly abandoned his pursuit.",MWS
76,"He had already bought a farm with his money, on which he had designed to pass the remainder of his life; but he bestowed the whole on his rival, together with the remains of his prize-money to purchase stock, and then himself solicited the young woman’s father to consent to her marriage with her lover.",MWS
77,"But the old man decidedly refused, thinking himself bound in honour to my friend, who, when he found the father inexorable, quitted his country, nor returned until he heard that his former mistress was married according to her inclinations.",MWS
78,“What a noble fellow!” you will exclaim.,MWS
79,"He is so; but then he is wholly uneducated: he is as silent as a Turk, and a kind of ignorant carelessness attends him, which, while it renders his conduct the more astonishing, detracts from the interest and sympathy which otherwise he would command.",MWS
80,"Yet do not suppose, because I complain a little or because I can conceive a consolation for my toils which I may never know, that I am wavering in my resolutions.",MWS
81,"Those are as fixed as fate, and my voyage is only now delayed until the weather shall permit my embarkation.",MWS
82,"The winter has been dreadfully severe, but the spring promises well, and it is considered as a remarkably early season, so that perhaps I may sail sooner than I expected.",MWS
83,I shall do nothing rashly:  you know me sufficiently to confide in my prudence and considerateness whenever the safety of others is committed to my care.,MWS
84,I cannot describe to you my sensations on the near prospect of my undertaking.,MWS
85,"It is impossible to communicate to you a conception of the trembling sensation, half pleasurable and half fearful, with which I am preparing to depart.",MWS
86,"I am going to unexplored regions, to “the land of mist and snow,” but I shall kill no albatross; therefore do not be alarmed for my safety or if I should come back to you as worn and woeful as the “Ancient Mariner.”  You will smile at my allusion, but I will disclose a secret.",MWS
87,"I have often attributed my attachment to, my passionate enthusiasm for, the dangerous mysteries of ocean to that production of the most imaginative of modern poets.",MWS
88,There is something at work in my soul which I do not understand.,MWS
89,"I am practically industrious—painstaking, a workman to execute with perseverance and labour—but besides this there is a love for the marvellous, a belief in the marvellous, intertwined in all my projects, which hurries me out of the common pathways of men, even to the wild sea and unvisited regions I am about to explore.",MWS
90,But to return to dearer considerations.,MWS
91,"Shall I meet you again, after having traversed immense seas, and returned by the most southern cape of Africa or America?",MWS
92,"I dare not expect such success, yet I cannot bear to look on the reverse of the picture.",MWS
93,Continue for the present to write to me by every opportunity: I may receive your letters on some occasions when I need them most to support my spirits.,MWS
94,I love you very tenderly.,MWS
95,"Remember me with affection, should you never hear from me again.",MWS
96,"Your affectionate brother,   Robert Walton       Letter 3     _To Mrs. Saville, England._   July 7th, 17—.",MWS
97,"My dear Sister,  I write a few lines in haste to say that I am safe—and well advanced on my voyage.",MWS
98,"This letter will reach England by a merchantman now on its homeward voyage from Archangel; more fortunate than I, who may not see my native land, perhaps, for many years.",MWS
99,"I am, however, in good spirits:  my men are bold and apparently firm of purpose, nor do the floating sheets of ice that continually pass us, indicating the dangers of the region towards which we are advancing, appear to dismay them.",MWS
100,"We have already reached a very high latitude; but it is the height of summer, and although not so warm as in England, the southern gales, which blow us speedily towards those shores which I so ardently desire to attain, breathe a degree of renovating warmth which I had not expected.",MWS
101,No incidents have hitherto befallen us that would make a figure in a letter.,MWS
102,"One or two stiff gales and the springing of a leak are accidents which experienced navigators scarcely remember to record, and I shall be well content if nothing worse happen to us during our voyage.",MWS
103,"Adieu, my dear Margaret.",MWS
104,"Be assured that for my own sake, as well as yours, I will not rashly encounter danger.",MWS
105,"I will be cool, persevering, and prudent.",MWS
106,But success _shall_ crown my endeavours.,MWS
107,"Thus far I have gone, tracing a secure way over the pathless seas, the very stars themselves being witnesses and testimonies of my triumph.",MWS
108,Why not still proceed over the untamed yet obedient element?,MWS
109,What can stop the determined heart and resolved will of man?,MWS
110,My swelling heart involuntarily pours itself out thus.,MWS
111,But I must finish.,MWS
112,Heaven bless my beloved sister!,MWS
113,"Letter 4     _To Mrs. Saville, England._   August 5th, 17—.",MWS
114,"So strange an accident has happened to us that I cannot forbear recording it, although it is very probable that you will see me before these papers can come into your possession.",MWS
115,"Last Monday (July 31st) we were nearly surrounded by ice, which closed in the ship on all sides, scarcely leaving her the sea-room in which she floated.",MWS
116,"Our situation was somewhat dangerous, especially as we were compassed round by a very thick fog.",MWS
117,"We accordingly lay to, hoping that some change would take place in the atmosphere and weather.",MWS
118,"About two o’clock the mist cleared away, and we beheld, stretched out in every direction, vast and irregular plains of ice, which seemed to have no end.",MWS
119,"Some of my comrades groaned, and my own mind began to grow watchful with anxious thoughts, when a strange sight suddenly attracted our attention and diverted our solicitude from our own situation.",MWS
120,"We perceived a low carriage, fixed on a sledge and drawn by dogs, pass on towards the north, at the distance of half a mile; a being which had the shape of a man, but apparently of gigantic stature, sat in the sledge and guided the dogs.",MWS
121,We watched the rapid progress of the traveller with our telescopes until he was lost among the distant inequalities of the ice.,MWS
122,This appearance excited our unqualified wonder.,MWS
123,"We were, as we believed, many hundred miles from any land; but this apparition seemed to denote that it was not, in reality, so distant as we had supposed.",MWS
124,"Shut in, however, by ice, it was impossible to follow his track, which we had observed with the greatest attention.",MWS
125,"About two hours after this occurrence we heard the ground sea, and before night the ice broke and freed our ship.",MWS
126,"We, however, lay to until the morning, fearing to encounter in the dark those large loose masses which float about after the breaking up of the ice.",MWS
127,I profited of this time to rest for a few hours.,MWS
128,"In the morning, however, as soon as it was light, I went upon deck and found all the sailors busy on one side of the vessel, apparently talking to someone in the sea.",MWS
129,"It was, in fact, a sledge, like that we had seen before, which had drifted towards us in the night on a large fragment of ice.",MWS
130,Only one dog remained alive; but there was a human being within it whom the sailors were persuading to enter the vessel.,MWS
131,"He was not, as the other traveller seemed to be, a savage inhabitant of some undiscovered island, but a European.",MWS
132,"When I appeared on deck the master said, “Here is our captain, and he will not allow you to perish on the open sea.”  On perceiving me, the stranger addressed me in English, although with a foreign accent.",MWS
133,"“Before I come on board your vessel,” said he, “will you have the kindness to inform me whither you are bound?”  You may conceive my astonishment on hearing such a question addressed to me from a man on the brink of destruction and to whom I should have supposed that my vessel would have been a resource which he would not have exchanged for the most precious wealth the earth can afford.",MWS
134,"I replied, however, that we were on a voyage of discovery towards the northern pole.",MWS
135,Upon hearing this he appeared satisfied and consented to come on board.,MWS
136,"Margaret, if you had seen the man who thus capitulated for his safety, your surprise would have been boundless.",MWS
137,"His limbs were nearly frozen, and his body dreadfully emaciated by fatigue and suffering.",MWS
138,I never saw a man in so wretched a condition.,MWS
139,"We attempted to carry him into the cabin, but as soon as he had quitted the fresh air he fainted.",MWS
140,We accordingly brought him back to the deck and restored him to animation by rubbing him with brandy and forcing him to swallow a small quantity.,MWS
141,As soon as he showed signs of life we wrapped him up in blankets and placed him near the chimney of the kitchen stove.,MWS
142,"By slow degrees he recovered and ate a little soup, which restored him wonderfully.",MWS
143,"Two days passed in this manner before he was able to speak, and I often feared that his sufferings had deprived him of understanding.",MWS
144,"When he had in some measure recovered, I removed him to my own cabin and attended on him as much as my duty would permit.",MWS
145,"I never saw a more interesting creature:  his eyes have generally an expression of wildness, and even madness, but there are moments when, if anyone performs an act of kindness towards him or does him any the most trifling service, his whole countenance is lighted up, as it were, with a beam of benevolence and sweetness that I never saw equalled.",MWS
146,"But he is generally melancholy and despairing, and sometimes he gnashes his teeth, as if impatient of the weight of woes that oppresses him.",MWS
147,"When my guest was a little recovered I had great trouble to keep off the men, who wished to ask him a thousand questions; but I would not allow him to be tormented by their idle curiosity, in a state of body and mind whose restoration evidently depended upon entire repose.",MWS
148,"Once, however, the lieutenant asked why he had come so far upon the ice in so strange a vehicle.",MWS
149,"His countenance instantly assumed an aspect of the deepest gloom, and he replied, “To seek one who fled from me.”  “And did the man whom you pursued travel in the same fashion?”  “Yes.”  “Then I fancy we have seen him, for the day before we picked you up we saw some dogs drawing a sledge, with a man in it, across the ice.”  This aroused the stranger’s attention, and he asked a multitude of questions concerning the route which the dæmon, as he called him, had pursued.",MWS
150,"Soon after, when he was alone with me, he said, “I have, doubtless, excited your curiosity, as well as that of these good people; but you are too considerate to make inquiries.”  “Certainly; it would indeed be very impertinent and inhuman in me to trouble you with any inquisitiveness of mine.”  “And yet you rescued me from a strange and perilous situation; you have benevolently restored me to life.”  Soon after this he inquired if I thought that the breaking up of the ice had destroyed the other sledge.",MWS
151,"I replied that I could not answer with any degree of certainty, for the ice had not broken until near midnight, and the traveller might have arrived at a place of safety before that time; but of this I could not judge.",MWS
152,From this time a new spirit of life animated the decaying frame of the stranger.,MWS
153,"He manifested the greatest eagerness to be upon deck to watch for the sledge which had before appeared; but I have persuaded him to remain in the cabin, for he is far too weak to sustain the rawness of the atmosphere.",MWS
154,I have promised that someone should watch for him and give him instant notice if any new object should appear in sight.,MWS
155,Such is my journal of what relates to this strange occurrence up to the present day.,MWS
156,The stranger has gradually improved in health but is very silent and appears uneasy when anyone except myself enters his cabin.,MWS
157,"Yet his manners are so conciliating and gentle that the sailors are all interested in him, although they have had very little communication with him.",MWS
158,"For my own part, I begin to love him as a brother, and his constant and deep grief fills me with sympathy and compassion.",MWS
159,"He must have been a noble creature in his better days, being even now in wreck so attractive and amiable.",MWS
160,"I said in one of my letters, my dear Margaret, that I should find no friend on the wide ocean; yet I have found a man who, before his spirit had been broken by misery, I should have been happy to have possessed as the brother of my heart.",MWS
161,"I shall continue my journal concerning the stranger at intervals, should I have any fresh incidents to record.",MWS
162,My affection for my guest increases every day.,MWS
163,He excites at once my admiration and my pity to an astonishing degree.,MWS
164,How can I see so noble a creature destroyed by misery without feeling the most poignant grief?,MWS
165,"He is so gentle, yet so wise; his mind is so cultivated, and when he speaks, although his words are culled with the choicest art, yet they flow with rapidity and unparalleled eloquence.",MWS
166,"He is now much recovered from his illness and is continually on the deck, apparently watching for the sledge that preceded his own.",MWS
167,"Yet, although unhappy, he is not so utterly occupied by his own misery but that he interests himself deeply in the projects of others.",MWS
168,"He has frequently conversed with me on mine, which I have communicated to him without disguise.",MWS
169,He entered attentively into all my arguments in favour of my eventual success and into every minute detail of the measures I had taken to secure it.,MWS
170,"I was easily led by the sympathy which he evinced to use the language of my heart, to give utterance to the burning ardour of my soul and to say, with all the fervour that warmed me, how gladly I would sacrifice my fortune, my existence, my every hope, to the furtherance of my enterprise.",MWS
171,"One man’s life or death were but a small price to pay for the acquirement of the knowledge which I sought, for the dominion I should acquire and transmit over the elemental foes of our race.",MWS
172,"As I spoke, a dark gloom spread over my listener’s countenance.",MWS
173,"At first I perceived that he tried to suppress his emotion; he placed his hands before his eyes, and my voice quivered and failed me as I beheld tears trickle fast from between his fingers; a groan burst from his heaving breast.",MWS
174,"I paused; at length he spoke, in broken accents: “Unhappy man!",MWS
175,Do you share my madness?,MWS
176,Have you drunk also of the intoxicating draught?,MWS
177,"Hear me; let me reveal my tale, and you will dash the cup from your lips!”  Such words, you may imagine, strongly excited my curiosity; but the paroxysm of grief that had seized the stranger overcame his weakened powers, and many hours of repose and tranquil conversation were necessary to restore his composure.",MWS
178,"Having conquered the violence of his feelings, he appeared to despise himself for being the slave of passion; and quelling the dark tyranny of despair, he led me again to converse concerning myself personally.",MWS
179,He asked me the history of my earlier years.,MWS
180,"The tale was quickly told, but it awakened various trains of reflection.",MWS
181,"I spoke of my desire of finding a friend, of my thirst for a more intimate sympathy with a fellow mind than had ever fallen to my lot, and expressed my conviction that a man could boast of little happiness who did not enjoy this blessing.",MWS
182,"“I agree with you,” replied the stranger; “we are unfashioned creatures, but half made up, if one wiser, better, dearer than ourselves—such a friend ought to be—do not lend his aid to perfectionate our weak and faulty natures.",MWS
183,"I once had a friend, the most noble of human creatures, and am entitled, therefore, to judge respecting friendship.",MWS
184,"You have hope, and the world before you, and have no cause for despair.",MWS
185,"But I—I have lost everything and cannot begin life anew.”  As he said this his countenance became expressive of a calm, settled grief that touched me to the heart.",MWS
186,But he was silent and presently retired to his cabin.,MWS
187,"Even broken in spirit as he is, no one can feel more deeply than he does the beauties of nature.",MWS
188,"The starry sky, the sea, and every sight afforded by these wonderful regions seem still to have the power of elevating his soul from earth.",MWS
189,"Such a man has a double existence:  he may suffer misery and be overwhelmed by disappointments, yet when he has retired into himself, he will be like a celestial spirit that has a halo around him, within whose circle no grief or folly ventures.",MWS
190,Will you smile at the enthusiasm I express concerning this divine wanderer?,MWS
191,You would not if you saw him.,MWS
192,"You have been tutored and refined by books and retirement from the world, and you are therefore somewhat fastidious; but this only renders you the more fit to appreciate the extraordinary merits of this wonderful man.",MWS
193,Sometimes I have endeavoured to discover what quality it is which he possesses that elevates him so immeasurably above any other person I ever knew.,MWS
194,"I believe it to be an intuitive discernment, a quick but never-failing power of judgment, a penetration into the causes of things, unequalled for clearness and precision; add to this a facility of expression and a voice whose varied intonations are soul-subduing music.",MWS
195,"Yesterday the stranger said to me, “You may easily perceive, Captain Walton, that I have suffered great and unparalleled misfortunes.",MWS
196,"I had determined at one time that the memory of these evils should die with me, but you have won me to alter my determination.",MWS
197,"You seek for knowledge and wisdom, as I once did; and I ardently hope that the gratification of your wishes may not be a serpent to sting you, as mine has been.",MWS
198,"I do not know that the relation of my disasters will be useful to you; yet, when I reflect that you are pursuing the same course, exposing yourself to the same dangers which have rendered me what I am, I imagine that you may deduce an apt moral from my tale, one that may direct you if you succeed in your undertaking and console you in case of failure.",MWS
199,Prepare to hear of occurrences which are usually deemed marvellous.,MWS
200,"Were we among the tamer scenes of nature I might fear to encounter your unbelief, perhaps your ridicule; but many things will appear possible in these wild and mysterious regions which would provoke the laughter of those unacquainted with the ever-varied powers of nature; nor can I doubt but that my tale conveys in its series internal evidence of the truth of the events of which it is composed.”  You may easily imagine that I was much gratified by the offered communication, yet I could not endure that he should renew his grief by a recital of his misfortunes.",MWS
201,"I felt the greatest eagerness to hear the promised narrative, partly from curiosity and partly from a strong desire to ameliorate his fate if it were in my power.",MWS
202,I expressed these feelings in my answer.,MWS
203,"“I thank you,” he replied, “for your sympathy, but it is useless; my fate is nearly fulfilled.",MWS
204,"I wait but for one event, and then I shall repose in peace.",MWS
205,"I understand your feeling,” continued he, perceiving that I wished to interrupt him; “but you are mistaken, my friend, if thus you will allow me to name you; nothing can alter my destiny; listen to my history, and you will perceive how irrevocably it is determined.”  He then told me that he would commence his narrative the next day when I should be at leisure.",MWS
206,This promise drew from me the warmest thanks.,MWS
207,"I have resolved every night, when I am not imperatively occupied by my duties, to record, as nearly as possible in his own words, what he has related during the day.",MWS
208,"If I should be engaged, I will at least make notes.",MWS
209,"This manuscript will doubtless afford you the greatest pleasure; but to me, who know him, and who hear it from his own lips—with what interest and sympathy shall I read it in some future day!",MWS
210,"Even now, as I commence my task, his full-toned voice swells in my ears; his lustrous eyes dwell on me with all their melancholy sweetness; I see his thin hand raised in animation, while the lineaments of his face are irradiated by the soul within.",MWS
211,"Strange and harrowing must be his story, frightful the storm which embraced the gallant vessel on its course and wrecked it—thus!",MWS
212,"Chapter 1  I am by birth a Genevese, and my family is one of the most distinguished of that republic.",MWS
213,"My ancestors had been for many years counsellors and syndics, and my father had filled several public situations with honour and reputation.",MWS
214,He was respected by all who knew him for his integrity and indefatigable attention to public business.,MWS
215,"He passed his younger days perpetually occupied by the affairs of his country; a variety of circumstances had prevented his marrying early, nor was it until the decline of life that he became a husband and the father of a family.",MWS
216,"As the circumstances of his marriage illustrate his character, I cannot refrain from relating them.",MWS
217,"One of his most intimate friends was a merchant who, from a flourishing state, fell, through numerous mischances, into poverty.",MWS
218,"This man, whose name was Beaufort, was of a proud and unbending disposition and could not bear to live in poverty and oblivion in the same country where he had formerly been distinguished for his rank and magnificence.",MWS
219,"Having paid his debts, therefore, in the most honourable manner, he retreated with his daughter to the town of Lucerne, where he lived unknown and in wretchedness.",MWS
220,My father loved Beaufort with the truest friendship and was deeply grieved by his retreat in these unfortunate circumstances.,MWS
221,He bitterly deplored the false pride which led his friend to a conduct so little worthy of the affection that united them.,MWS
222,"He lost no time in endeavouring to seek him out, with the hope of persuading him to begin the world again through his credit and assistance.",MWS
223,"Beaufort had taken effectual measures to conceal himself, and it was ten months before my father discovered his abode.",MWS
224,"Overjoyed at this discovery, he hastened to the house, which was situated in a mean street near the Reuss.",MWS
225,"But when he entered, misery and despair alone welcomed him.",MWS
226,"Beaufort had saved but a very small sum of money from the wreck of his fortunes, but it was sufficient to provide him with sustenance for some months, and in the meantime he hoped to procure some respectable employment in a merchant’s house.",MWS
227,"The interval was, consequently, spent in inaction; his grief only became more deep and rankling when he had leisure for reflection, and at length it took so fast hold of his mind that at the end of three months he lay on a bed of sickness, incapable of any exertion.",MWS
228,"His daughter attended him with the greatest tenderness, but she saw with despair that their little fund was rapidly decreasing and that there was no other prospect of support.",MWS
229,"But Caroline Beaufort possessed a mind of an uncommon mould, and her courage rose to support her in her adversity.",MWS
230,She procured plain work; she plaited straw and by various means contrived to earn a pittance scarcely sufficient to support life.,MWS
231,Several months passed in this manner.,MWS
232,"Her father grew worse; her time was more entirely occupied in attending him; her means of subsistence decreased; and in the tenth month her father died in her arms, leaving her an orphan and a beggar.",MWS
233,"This last blow overcame her, and she knelt by Beaufort’s coffin weeping bitterly, when my father entered the chamber.",MWS
234,"He came like a protecting spirit to the poor girl, who committed herself to his care; and after the interment of his friend he conducted her to Geneva and placed her under the protection of a relation.",MWS
235,Two years after this event Caroline became his wife.,MWS
236,"There was a considerable difference between the ages of my parents, but this circumstance seemed to unite them only closer in bonds of devoted affection.",MWS
237,There was a sense of justice in my father’s upright mind which rendered it necessary that he should approve highly to love strongly.,MWS
238,Perhaps during former years he had suffered from the late-discovered unworthiness of one beloved and so was disposed to set a greater value on tried worth.,MWS
239,"There was a show of gratitude and worship in his attachment to my mother, differing wholly from the doting fondness of age, for it was inspired by reverence for her virtues and a desire to be the means of, in some degree, recompensing her for the sorrows she had endured, but which gave inexpressible grace to his behaviour to her.",MWS
240,Everything was made to yield to her wishes and her convenience.,MWS
241,"He strove to shelter her, as a fair exotic is sheltered by the gardener, from every rougher wind and to surround her with all that could tend to excite pleasurable emotion in her soft and benevolent mind.",MWS
242,"Her health, and even the tranquillity of her hitherto constant spirit, had been shaken by what she had gone through.",MWS
243,"During the two years that had elapsed previous to their marriage my father had gradually relinquished all his public functions; and immediately after their union they sought the pleasant climate of Italy, and the change of scene and interest attendant on a tour through that land of wonders, as a restorative for her weakened frame.",MWS
244,From Italy they visited Germany and France.,MWS
245,"I, their eldest child, was born at Naples, and as an infant accompanied them in their rambles.",MWS
246,I remained for several years their only child.,MWS
247,"Much as they were attached to each other, they seemed to draw inexhaustible stores of affection from a very mine of love to bestow them upon me.",MWS
248,My mother’s tender caresses and my father’s smile of benevolent pleasure while regarding me are my first recollections.,MWS
249,"I was their plaything and their idol, and something better—their child, the innocent and helpless creature bestowed on them by Heaven, whom to bring up to good, and whose future lot it was in their hands to direct to happiness or misery, according as they fulfilled their duties towards me.",MWS
250,"With this deep consciousness of what they owed towards the being to which they had given life, added to the active spirit of tenderness that animated both, it may be imagined that while during every hour of my infant life I received a lesson of patience, of charity, and of self-control, I was so guided by a silken cord that all seemed but one train of enjoyment to me.",MWS
251,For a long time I was their only care.,MWS
252,"My mother had much desired to have a daughter, but I continued their single offspring.",MWS
253,"When I was about five years old, while making an excursion beyond the frontiers of Italy, they passed a week on the shores of the Lake of Como.",MWS
254,Their benevolent disposition often made them enter the cottages of the poor.,MWS
255,"This, to my mother, was more than a duty; it was a necessity, a passion—remembering what she had suffered, and how she had been relieved—for her to act in her turn the guardian angel to the afflicted.",MWS
256,"During one of their walks a poor cot in the foldings of a vale attracted their notice as being singularly disconsolate, while the number of half-clothed children gathered about it spoke of penury in its worst shape.",MWS
257,"One day, when my father had gone by himself to Milan, my mother, accompanied by me, visited this abode.",MWS
258,"She found a peasant and his wife, hard working, bent down by care and labour, distributing a scanty meal to five hungry babes.",MWS
259,Among these there was one which attracted my mother far above all the rest.,MWS
260,She appeared of a different stock.,MWS
261,"The four others were dark-eyed, hardy little vagrants; this child was thin and very fair.",MWS
